Body Type,Sex,Diet,How Often Shower,Heating Energy Source,Transport,Vehicle Type,Monthly Grocery Bill,Frequency of Traveling by Air,Vehicle Monthly Distance Km,Waste Bag Size,Waste Bag Weekly Count,How Long TV PC Daily Hour,How Many New Clothes Monthly,How Long Internet Daily Hour,CarbonEmission
normal,male,vegan,twice a day,electricity,walk/bicycle,,140,very frequently,3,large,4,12,17,16,2217
underweight,male,omnivore,daily,natural gas,private,diesel,101,very frequently,189,large,2,14,50,12,2614
obese,male,pescatarian,twice a day,wood,public,,296,very frequently,1749,small,7,4,20,16,3308
underweight,female,vegan,twice a day,natural gas,private,lpg,95,frequently,4037,medium,7,2,35,10,2414
underweight,male,vegan,more frequently,electricity,public,,52,never,1747,large,4,22,33,0,1358
obese,male,omnivore,daily,natural gas,private,lpg,279,frequently,2376,medium,1,24,37,9,3488
overweight,female,vegetarian,less frequently,natural gas,private,electric,124,rarely,875,medium,3,16,27,6,1283
overweight,male,pescatarian,twice a day,coal,public,,57,frequently,1997,large,5,17,11,7,2199
obese,male,omnivore,daily,natural gas,public,,68,very frequently,1097,medium,6,19,39,10,3894
obese,female,omnivore,less frequently,electricity,walk/bicycle,,286,rarely,58,extra large,7,3,44,11,2440
obese,female,pescatarian,more frequently,wood,walk/bicycle,,226,frequently,31,extra large,4,5,25,23,2547
underweight,male,pescatarian,more frequently,coal,walk/bicycle,,259,never,60,medium,6,0,2,5,1435
underweight,female,pescatarian,less frequently,coal,private,petrol,52,never,3709,small,3,4,41,12,2227
obese,female,vegan,less frequently,electricity,public,,60,very frequently,178,extra large,1,14,35,11,2342
overweight,female,vegetarian,daily,natural gas,public,,138,never,1465,small,2,13,7,5,780
normal,female,omnivore,less frequently,coal,walk/bicycle,,84,very frequently,85,small,5,10,24,15,2300
underweight,male,vegan,more frequently,coal,walk/bicycle,,203,frequently,26,small,3,11,8,22,1729
underweight,male,vegan,more frequently,electricity,walk/bicycle,,298,rarely,49,extra large,5,9,15,4,1323
normal,male,vegan,twice a day,coal,public,,225,very frequently,578,small,2,19,11,5,2515
obese,female,vegetarian,more frequently,natural gas,walk/bicycle,,109,frequently,77,small,4,23,50,24,2393
underweight,female,omnivore,less frequently,electricity,public,,73,frequently,1507,large,5,3,14,15,1285
obese,male,vegetarian,more frequently,coal,private,hybrid,141,frequently,75,medium,1,8,20,22,2485
underweight,male,vegetarian,more frequently,coal,private,electric,242,frequently,4749,medium,5,23,29,15,2252
underweight,male,pescatarian,twice a day,natural gas,private,hybrid,171,frequently,4592,small,7,13,9,20,2543
overweight,male,vegetarian,more frequently,electricity,walk/bicycle,,192,frequently,1,small,1,5,50,23,2092
obese,female,pescatarian,daily,electricity,private,petrol,279,very frequently,2950,large,7,5,1,7,3772
obese,male,vegetarian,daily,wood,walk/bicycle,,64,very frequently,98,medium,1,11,43,14,3097
obese,male,vegetarian,twice a day,natural gas,private,electric,257,very frequently,5517,large,4,0,7,20,2758
obese,male,omnivore,twice a day,electricity,private,petrol,276,never,4424,medium,4,11,23,8,3306
obese,male,omnivore,daily,electricity,public,,150,frequently,1916,extra large,2,0,1,3,1669
obese,male,pescatarian,twice a day,coal,private,diesel,112,very frequently,4333,large,2,8,8,6,3810
overweight,male,pescatarian,twice a day,wood,walk/bicycle,,180,very frequently,90,medium,5,1,17,18,3099
overweight,male,omnivore,less frequently,electricity,private,electric,70,very frequently,1210,medium,2,7,27,5,2461
normal,male,vegan,twice a day,natural gas,walk/bicycle,,52,frequently,97,medium,1,5,2,16,1310
underweight,female,vegetarian,twice a day,coal,public,,244,rarely,1099,medium,4,11,43,23,1767
obese,female,omnivore,daily,natural gas,public,,280,never,1934,large,6,17,13,17,1871
normal,male,vegan,twice a day,natural gas,public,,227,frequently,783,small,6,8,39,24,2230
obese,female,omnivore,less frequently,coal,walk/bicycle,,189,rarely,46,extra large,5,3,45,7,2910
underweight,male,omnivore,twice a day,natural gas,public,,196,very frequently,1250,large,4,23,0,15,2708
normal,female,omnivore,more frequently,coal,private,lpg,255,frequently,8105,medium,5,3,35,4,4099
underweight,male,vegetarian,less frequently,wood,private,lpg,109,rarely,9007,small,1,1,6,8,3358
underweight,female,vegetarian,daily,wood,private,lpg,229,rarely,2349,small,6,1,28,6,1633
underweight,female,omnivore,twice a day,electricity,public,,288,very frequently,1671,extra large,4,19,7,4,2479
normal,female,pescatarian,twice a day,electricity,public,,204,very frequently,1330,large,2,24,47,14,2539
obese,male,vegan,more frequently,natural gas,walk/bicycle,,228,frequently,71,medium,1,24,29,17,2158
obese,male,omnivore,twice a day,natural gas,walk/bicycle,,122,very frequently,6,small,6,4,9,18,2623
obese,male,vegetarian,more frequently,wood,walk/bicycle,,95,rarely,95,small,6,24,12,22,1589
obese,female,vegan,twice a day,wood,public,,137,never,645,medium,4,15,7,7,1318
overweight,male,vegetarian,more frequently,natural gas,private,diesel,195,frequently,486,extra large,1,9,3,16,1894
underweight,female,omnivore,less frequently,coal,walk/bicycle,,188,very frequently,0,large,6,9,36,18,2647
obese,female,vegetarian,twice a day,electricity,walk/bicycle,,74,rarely,57,medium,2,3,47,15,1581
normal,female,vegetarian,more frequently,wood,public,,94,frequently,575,small,5,14,22,2,1543
normal,male,pescatarian,less frequently,wood,public,,110,rarely,1483,extra large,4,22,35,8,1862
normal,male,omnivore,daily,coal,private,diesel,271,frequently,7545,medium,5,19,0,18,3946
obese,male,vegetarian,more frequently,coal,public,,100,never,201,medium,3,16,26,6,1878
obese,male,pescatarian,twice a day,wood,public,,291,never,468,small,7,1,31,9,1782
overweight,male,omnivore,more frequently,electricity,walk/bicycle,,241,frequently,17,small,4,20,3,6,1653
normal,male,vegan,twice a day,electricity,walk/bicycle,,151,very frequently,51,small,5,1,12,11,1997
overweight,male,vegetarian,more frequently,natural gas,private,lpg,91,very frequently,8722,large,6,4,34,12,5964
overweight,male,vegetarian,twice a day,natural gas,private,lpg,194,never,3972,medium,7,1,9,23,2680
obese,female,omnivore,less frequently,electricity,walk/bicycle,,158,frequently,51,extra large,1,14,4,3,1559
obese,male,omnivore,twice a day,natural gas,walk/bicycle,,281,rarely,27,small,3,5,46,4,2137
underweight,female,omnivore,daily,natural gas,private,lpg,205,never,503,small,3,9,39,16,1232
overweight,female,vegetarian,twice a day,wood,public,,135,never,362,medium,2,16,18,21,1218
overweight,male,vegan,less frequently,coal,walk/bicycle,,200,never,62,extra large,7,20,20,20,2218
normal,male,omnivore,daily,wood,private,lpg,195,never,9232,extra large,6,20,42,18,5064
obese,female,vegan,less frequently,natural gas,private,lpg,59,rarely,3233,medium,4,15,31,3,2633
obese,male,vegetarian,twice a day,wood,private,lpg,145,very frequently,6659,extra large,2,20,25,15,5502
obese,female,omnivore,twice a day,wood,walk/bicycle,,156,frequently,86,extra large,7,10,50,4,2960
normal,female,pescatarian,daily,electricity,walk/bicycle,,262,rarely,85,extra large,1,11,23,14,1156
normal,male,vegan,less frequently,natural gas,public,,121,frequently,1405,extra large,4,10,24,13,1877
overweight,female,omnivore,twice a day,wood,walk/bicycle,,233,rarely,5,extra large,4,10,43,21,2184
underweight,female,vegetarian,twice a day,coal,walk/bicycle,,225,rarely,12,large,1,18,5,16,1009
overweight,male,omnivore,twice a day,natural gas,public,,112,rarely,459,small,4,5,46,12,1965
overweight,male,vegetarian,more frequently,electricity,public,,130,never,1748,small,3,16,37,1,1098
obese,female,omnivore,more frequently,wood,walk/bicycle,,56,rarely,70,extra large,2,9,9,12,1152
overweight,male,vegan,more frequently,natural gas,private,hybrid,146,very frequently,2054,small,1,13,7,12,2751
underweight,male,omnivore,less frequently,wood,private,electric,284,frequently,5095,medium,4,21,9,2,1674
normal,female,vegetarian,daily,natural gas,private,electric,239,rarely,3850,large,5,21,45,18,1961
underweight,female,vegan,more frequently,wood,public,,287,rarely,1013,large,7,3,9,16,1447
overweight,female,omnivore,twice a day,coal,walk/bicycle,,52,rarely,92,extra large,7,3,12,9,1811
underweight,male,omnivore,daily,electricity,walk/bicycle,,83,very frequently,4,extra large,4,7,4,24,2476
underweight,male,vegan,less frequently,coal,public,,193,very frequently,894,medium,2,23,30,24,2637
obese,male,vegetarian,daily,coal,public,,268,frequently,1393,extra large,7,6,30,23,3738
obese,male,omnivore,daily,coal,private,petrol,90,rarely,6239,medium,3,10,28,8,4723
obese,male,omnivore,daily,wood,private,petrol,146,frequently,5278,small,6,2,33,7,5106
normal,male,pescatarian,less frequently,natural gas,private,hybrid,251,never,125,small,4,22,28,5,1268
overweight,female,vegan,more frequently,wood,public,,181,never,1306,extra large,7,21,47,1,2135
underweight,female,vegetarian,twice a day,electricity,private,electric,55,very frequently,4458,extra large,5,0,50,5,2310
obese,female,pescatarian,less frequently,electricity,walk/bicycle,,247,rarely,49,extra large,5,7,11,2,1684
overweight,male,vegan,twice a day,electricity,public,,249,frequently,324,medium,2,2,36,20,1941
obese,female,pescatarian,twice a day,electricity,private,electric,79,frequently,9384,large,2,23,38,6,1861
underweight,male,pescatarian,twice a day,natural gas,walk/bicycle,,253,never,34,large,5,2,50,21,1964
overweight,male,pescatarian,daily,wood,private,hybrid,239,rarely,8101,large,3,12,27,18,3397
obese,male,omnivore,daily,coal,public,,146,rarely,422,extra large,4,17,37,21,2717
underweight,male,vegan,more frequently,natural gas,walk/bicycle,,172,rarely,73,small,3,20,14,3,698
normal,male,vegan,daily,wood,private,diesel,120,very frequently,463,extra large,2,1,44,1,2929
overweight,female,pescatarian,twice a day,electricity,private,diesel,216,very frequently,8107,large,6,10,34,12,4693
overweight,female,vegetarian,less frequently,natural gas,walk/bicycle,,85,very frequently,62,large,3,7,42,0,2618
overweight,female,pescatarian,more frequently,coal,public,,105,rarely,955,medium,6,15,32,22,2032
obese,female,omnivore,less frequently,wood,private,lpg,205,very frequently,3470,medium,4,17,46,16,4378
underweight,male,vegetarian,more frequently,coal,walk/bicycle,,228,frequently,1,small,3,24,19,3,1978
overweight,female,vegan,less frequently,natural gas,walk/bicycle,,82,very frequently,96,medium,1,2,7,22,1821
underweight,male,vegan,less frequently,coal,walk/bicycle,,271,frequently,72,large,2,14,29,15,2114
underweight,male,pescatarian,more frequently,wood,walk/bicycle,,269,rarely,50,medium,4,7,29,3,1430
obese,female,omnivore,daily,natural gas,walk/bicycle,,246,rarely,94,large,5,19,8,0,1879
overweight,female,omnivore,more frequently,electricity,walk/bicycle,,115,never,0,large,5,22,26,23,1365
underweight,female,vegan,more frequently,electricity,walk/bicycle,,260,frequently,85,medium,7,16,44,24,1786
normal,male,pescatarian,less frequently,wood,public,,189,rarely,714,large,1,22,41,16,1657
underweight,male,vegetarian,daily,natural gas,public,,152,never,1047,extra large,6,11,21,5,1434
overweight,male,omnivore,daily,electricity,public,,226,very frequently,1276,large,5,8,14,4,2738
obese,male,vegan,less frequently,electricity,private,hybrid,87,very frequently,7656,extra large,5,0,36,4,4633
overweight,female,omnivore,twice a day,natural gas,public,,82,very frequently,302,large,5,2,31,10,2808
normal,female,omnivore,twice a day,coal,walk/bicycle,,96,rarely,76,medium,5,8,46,11,1609
overweight,male,pescatarian,more frequently,wood,public,,230,frequently,1693,extra large,6,8,0,10,2626
obese,male,vegetarian,more frequently,natural gas,walk/bicycle,,198,never,6,medium,6,18,34,1,1908
overweight,male,vegetarian,twice a day,electricity,walk/bicycle,,134,very frequently,4,large,6,4,36,18,3131
overweight,male,omnivore,daily,electricity,public,,244,frequently,883,medium,2,0,36,10,2255
normal,female,pescatarian,less frequently,natural gas,public,,151,rarely,1202,small,3,9,0,4,783
underweight,male,pescatarian,daily,natural gas,private,lpg,73,never,1536,extra large,5,23,1,0,1518
normal,male,omnivore,twice a day,electricity,walk/bicycle,,135,rarely,47,extra large,6,16,24,0,1692
obese,male,vegan,twice a day,coal,public,,119,very frequently,541,medium,7,3,34,5,4038
normal,male,vegan,twice a day,coal,walk/bicycle,,117,never,92,medium,1,18,40,8,1417
underweight,female,pescatarian,more frequently,electricity,private,lpg,268,very frequently,3183,small,4,15,7,5,2509
normal,female,vegan,more frequently,electricity,private,electric,93,rarely,6192,large,5,6,26,21,1103
obese,female,pescatarian,less frequently,coal,walk/bicycle,,276,very frequently,68,large,3,15,0,13,2580
obese,female,pescatarian,less frequently,coal,public,,94,rarely,1688,small,4,22,22,22,1914
normal,female,omnivore,more frequently,wood,private,hybrid,197,rarely,11,small,3,9,1,11,751
obese,male,pescatarian,more frequently,electricity,private,lpg,162,rarely,2119,large,2,3,29,11,2366
overweight,female,pescatarian,daily,natural gas,walk/bicycle,,101,never,75,small,4,20,16,12,758
overweight,male,vegan,less frequently,coal,private,hybrid,92,rarely,2180,small,4,4,3,14,1781
overweight,female,vegetarian,twice a day,wood,private,petrol,62,very frequently,8931,large,4,3,28,24,5517
obese,female,pescatarian,more frequently,coal,public,,228,never,1490,medium,6,11,33,19,2199
normal,male,pescatarian,less frequently,wood,public,,130,rarely,272,medium,2,17,22,2,1204
underweight,male,vegan,less frequently,coal,private,petrol,205,very frequently,5095,extra large,2,10,0,14,4320
overweight,male,vegetarian,less frequently,coal,public,,278,rarely,1388,small,5,22,3,7,1622
normal,female,omnivore,twice a day,electricity,public,,153,never,1993,large,6,8,35,8,1347
underweight,male,pescatarian,twice a day,electricity,walk/bicycle,,179,frequently,23,medium,7,1,32,17,1899
overweight,male,vegan,less frequently,coal,public,,161,rarely,1785,medium,6,6,29,14,1870
obese,female,omnivore,daily,natural gas,private,electric,173,rarely,7557,medium,4,4,13,19,1489
overweight,female,vegan,daily,wood,walk/bicycle,,188,very frequently,27,medium,3,9,11,14,2210
underweight,male,omnivore,daily,coal,public,,176,very frequently,1801,small,2,15,39,4,2749
obese,male,omnivore,twice a day,electricity,public,,177,very frequently,1766,medium,2,14,2,2,2861
normal,male,vegetarian,twice a day,electricity,walk/bicycle,,70,very frequently,79,large,7,13,7,17,2438
overweight,female,pescatarian,twice a day,coal,walk/bicycle,,158,frequently,22,small,4,9,9,20,1872
obese,female,pescatarian,daily,wood,public,,106,rarely,1928,extra large,6,13,29,18,2001
overweight,female,vegan,twice a day,wood,walk/bicycle,,105,rarely,50,large,6,3,13,6,1573
normal,female,pescatarian,daily,natural gas,private,hybrid,100,very frequently,3162,extra large,3,16,27,23,2773
overweight,female,pescatarian,twice a day,coal,walk/bicycle,,185,rarely,81,medium,5,16,22,23,1765
obese,female,omnivore,more frequently,electricity,walk/bicycle,,297,frequently,69,large,3,6,0,22,1776
obese,male,pescatarian,less frequently,natural gas,private,electric,102,never,1919,extra large,3,2,46,23,2253
overweight,male,vegan,daily,coal,walk/bicycle,,220,very frequently,69,extra large,5,18,23,8,3498
overweight,female,pescatarian,twice a day,natural gas,public,,143,frequently,819,large,4,8,20,15,2010
obese,male,pescatarian,twice a day,coal,walk/bicycle,,208,frequently,6,medium,6,12,1,19,2299
obese,female,pescatarian,daily,natural gas,walk/bicycle,,106,frequently,92,large,7,14,14,20,2774
obese,male,pescatarian,daily,coal,walk/bicycle,,60,never,13,medium,3,22,31,13,1755
obese,male,pescatarian,more frequently,natural gas,walk/bicycle,,76,frequently,69,medium,3,19,38,7,2571
obese,female,omnivore,less frequently,natural gas,public,,233,rarely,1024,extra large,2,14,2,14,1548
underweight,female,omnivore,more frequently,coal,public,,185,frequently,408,extra large,7,3,38,0,2538
normal,female,pescatarian,less frequently,electricity,public,,297,never,1319,extra large,3,17,20,13,1281
obese,female,omnivore,twice a day,natural gas,private,lpg,202,never,7598,small,5,19,44,6,3590
obese,male,pescatarian,more frequently,wood,public,,257,very frequently,1062,large,4,19,12,11,3320
normal,female,vegetarian,less frequently,coal,walk/bicycle,,272,never,12,large,1,4,7,1,738
obese,male,omnivore,daily,natural gas,walk/bicycle,,274,very frequently,19,small,7,19,6,2,3147
overweight,male,pescatarian,twice a day,natural gas,public,,148,frequently,1004,medium,1,13,45,19,2461
normal,female,vegetarian,less frequently,wood,private,diesel,178,rarely,7363,medium,1,11,48,1,3029
normal,male,vegetarian,twice a day,wood,walk/bicycle,,258,rarely,68,medium,1,5,40,20,1739
underweight,male,omnivore,less frequently,electricity,walk/bicycle,,263,rarely,55,extra large,6,17,17,3,1621
underweight,male,vegan,less frequently,coal,public,,193,rarely,1785,medium,1,5,34,21,1769
underweight,male,vegetarian,less frequently,electricity,public,,98,never,376,extra large,5,17,17,18,1151
obese,female,vegetarian,less frequently,electricity,public,,292,very frequently,1516,extra large,6,18,27,10,3180
underweight,female,vegetarian,daily,wood,walk/bicycle,,105,rarely,65,large,6,3,3,0,1065
overweight,male,omnivore,twice a day,coal,walk/bicycle,,227,never,20,medium,2,22,36,9,2280
obese,male,vegan,daily,electricity,walk/bicycle,,136,frequently,98,extra large,5,24,8,22,2410
normal,male,vegetarian,more frequently,coal,private,hybrid,50,never,288,large,2,8,21,14,1042
overweight,female,vegetarian,twice a day,electricity,private,hybrid,116,rarely,4998,large,4,3,43,5,2386
normal,male,vegetarian,more frequently,electricity,private,diesel,91,rarely,1340,medium,2,24,26,7,1414
normal,female,pescatarian,twice a day,coal,public,,202,never,1507,small,3,24,12,10,1024
overweight,female,omnivore,daily,electricity,walk/bicycle,,114,frequently,38,extra large,2,8,33,5,1694
overweight,male,vegan,less frequently,electricity,private,hybrid,240,rarely,9798,large,6,1,27,11,3170
underweight,female,omnivore,twice a day,electricity,walk/bicycle,,155,rarely,40,large,6,20,46,13,1833
obese,female,vegan,less frequently,natural gas,walk/bicycle,,267,very frequently,19,extra large,4,21,33,10,2912
overweight,female,vegetarian,more frequently,coal,public,,110,never,1386,extra large,7,19,45,13,2327
underweight,female,omnivore,daily,natural gas,walk/bicycle,,191,very frequently,71,small,7,8,4,16,2124
obese,male,vegan,more frequently,natural gas,public,,69,never,1767,large,3,12,8,16,1483
obese,female,pescatarian,more frequently,wood,walk/bicycle,,289,frequently,24,medium,3,6,20,15,1913
underweight,female,vegetarian,less frequently,natural gas,private,diesel,57,frequently,1658,large,3,18,44,15,2228
obese,male,vegan,less frequently,natural gas,walk/bicycle,,285,never,1,medium,7,23,49,23,2283
overweight,male,pescatarian,less frequently,wood,walk/bicycle,,272,very frequently,55,large,5,19,6,12,2945
underweight,female,vegetarian,twice a day,natural gas,private,lpg,87,frequently,5964,extra large,4,2,37,9,3176
underweight,male,pescatarian,daily,natural gas,walk/bicycle,,92,never,28,extra large,1,13,39,21,1236
normal,female,vegetarian,daily,wood,private,hybrid,266,frequently,7304,large,3,3,40,3,2693
normal,male,omnivore,less frequently,coal,walk/bicycle,,234,frequently,28,medium,1,2,16,10,1809
normal,male,vegan,less frequently,natural gas,walk/bicycle,,89,very frequently,24,medium,3,20,0,21,2055
overweight,female,vegetarian,twice a day,electricity,public,,279,frequently,658,extra large,1,10,5,16,1320
normal,male,vegetarian,daily,coal,walk/bicycle,,278,rarely,34,medium,3,20,0,16,1344
obese,male,pescatarian,twice a day,coal,walk/bicycle,,288,rarely,80,medium,1,15,3,23,1532
normal,female,vegetarian,more frequently,coal,public,,185,frequently,996,extra large,5,18,31,17,2306
overweight,male,omnivore,daily,wood,public,,298,never,1993,large,4,23,38,17,2430
normal,female,vegan,less frequently,wood,walk/bicycle,,124,rarely,80,small,4,3,26,5,846
normal,female,pescatarian,less frequently,electricity,private,petrol,228,never,6574,extra large,5,19,23,1,3263
normal,female,omnivore,daily,natural gas,walk/bicycle,,235,very frequently,2,extra large,6,11,15,6,2424
overweight,male,pescatarian,twice a day,electricity,public,,80,never,1697,small,5,20,35,4,1171
underweight,female,pescatarian,less frequently,electricity,walk/bicycle,,202,rarely,20,large,2,14,47,18,1289
normal,female,omnivore,more frequently,coal,private,lpg,218,rarely,8770,small,1,19,36,16,3716
normal,male,omnivore,twice a day,coal,public,,145,very frequently,111,small,7,4,31,6,2967
overweight,female,vegan,more frequently,coal,public,,131,very frequently,74,small,7,13,19,12,2457
obese,male,pescatarian,less frequently,wood,walk/bicycle,,204,never,41,extra large,6,16,46,20,2845
overweight,male,omnivore,less frequently,wood,private,diesel,163,very frequently,8194,small,6,21,21,14,4790
underweight,female,pescatarian,less frequently,coal,public,,287,very frequently,203,medium,5,17,10,11,2179
obese,male,omnivore,twice a day,natural gas,private,lpg,213,rarely,5074,extra large,7,3,44,8,4622
obese,male,omnivore,more frequently,coal,walk/bicycle,,233,never,20,small,1,11,20,2,1964
underweight,male,vegetarian,daily,natural gas,public,,144,never,551,medium,6,3,13,4,1351
overweight,male,pescatarian,less frequently,wood,walk/bicycle,,245,rarely,86,small,4,16,7,16,1125
obese,male,omnivore,twice a day,coal,private,petrol,150,frequently,8922,small,4,23,49,12,7033
underweight,female,vegetarian,twice a day,coal,public,,154,rarely,1412,medium,1,5,46,5,1591
normal,female,vegan,daily,coal,public,,60,frequently,616,large,3,4,18,8,1711
underweight,male,vegan,daily,electricity,public,,73,frequently,998,large,3,8,1,0,1095
underweight,male,vegan,twice a day,electricity,private,hybrid,182,very frequently,2791,medium,5,6,41,8,3326
overweight,female,vegan,less frequently,wood,walk/bicycle,,192,very frequently,45,small,7,20,2,1,2127
normal,female,vegetarian,less frequently,electricity,private,diesel,259,frequently,6207,large,7,16,3,6,2929
overweight,female,vegan,twice a day,wood,public,,210,very frequently,1960,medium,1,14,1,19,2161
normal,male,vegetarian,more frequently,natural gas,private,petrol,96,frequently,1614,extra large,1,3,18,8,1952
normal,female,vegan,less frequently,coal,private,electric,187,rarely,5175,small,6,6,44,13,1650
overweight,male,pescatarian,daily,electricity,public,,84,rarely,952,small,7,19,49,16,1672
overweight,female,pescatarian,daily,coal,private,hybrid,132,rarely,5738,medium,3,20,20,23,2240
overweight,female,vegan,twice a day,coal,private,hybrid,141,rarely,8317,medium,6,12,45,9,3238
overweight,female,vegetarian,twice a day,wood,walk/bicycle,,275,rarely,11,extra large,7,15,24,3,2045
normal,male,vegan,daily,wood,walk/bicycle,,269,very frequently,52,extra large,6,12,15,1,2563
obese,male,vegan,twice a day,electricity,public,,176,very frequently,833,small,7,1,44,6,3094
normal,female,omnivore,less frequently,coal,public,,55,frequently,452,medium,4,5,13,6,1499
normal,female,vegan,twice a day,wood,public,,158,rarely,590,extra large,1,16,30,1,1171
obese,male,pescatarian,less frequently,coal,public,,157,never,1840,medium,2,19,15,24,1814
underweight,female,vegetarian,daily,coal,private,lpg,296,frequently,1060,medium,1,6,47,10,2376
normal,male,vegan,daily,natural gas,private,hybrid,108,never,5074,small,1,11,19,7,1818
obese,male,omnivore,more frequently,natural gas,public,,176,rarely,1134,extra large,3,7,0,10,1559
overweight,male,omnivore,more frequently,coal,private,electric,60,frequently,1518,extra large,2,20,28,14,2458
overweight,male,omnivore,twice a day,wood,public,,138,very frequently,1801,small,5,3,9,11,2646
normal,female,vegetarian,daily,wood,public,,202,rarely,1903,large,4,9,14,22,1447
underweight,male,pescatarian,less frequently,natural gas,public,,60,never,770,medium,4,8,29,2,971
underweight,female,omnivore,less frequently,coal,walk/bicycle,,185,frequently,0,small,4,4,11,0,1346
overweight,female,omnivore,twice a day,natural gas,walk/bicycle,,205,rarely,10,medium,1,12,50,2,1514
normal,male,omnivore,twice a day,wood,private,hybrid,212,rarely,2801,large,7,21,30,13,2738
overweight,male,pescatarian,less frequently,wood,private,diesel,69,frequently,8272,large,4,17,39,21,4981
normal,male,pescatarian,daily,wood,walk/bicycle,,81,very frequently,85,large,7,17,20,8,2871
normal,male,omnivore,twice a day,coal,public,,109,frequently,785,extra large,7,11,30,1,3062
normal,female,pescatarian,twice a day,natural gas,private,electric,294,never,9740,large,2,1,22,4,1041
overweight,female,vegan,less frequently,natural gas,public,,217,frequently,434,medium,3,22,10,16,1614
overweight,female,vegetarian,more frequently,natural gas,walk/bicycle,,247,never,31,small,7,19,27,23,1243
normal,female,pescatarian,more frequently,coal,public,,77,never,1262,large,4,23,1,3,998
obese,male,vegetarian,daily,natural gas,walk/bicycle,,208,very frequently,82,small,3,10,33,18,3383
overweight,female,vegetarian,less frequently,natural gas,public,,200,rarely,324,extra large,3,8,19,8,1553
normal,male,pescatarian,twice a day,electricity,walk/bicycle,,98,rarely,79,small,2,18,22,23,1255
underweight,male,vegetarian,twice a day,natural gas,private,petrol,185,frequently,4579,small,6,5,2,1,2839
obese,male,vegan,more frequently,coal,walk/bicycle,,203,rarely,9,large,3,1,11,10,1920
normal,female,pescatarian,twice a day,coal,private,petrol,292,never,6734,small,6,17,43,15,4102
underweight,female,vegetarian,more frequently,electricity,private,hybrid,134,rarely,2226,extra large,3,18,50,19,1807
underweight,female,omnivore,less frequently,electricity,public,,217,rarely,895,small,6,14,50,19,1550
overweight,female,vegetarian,less frequently,wood,public,,118,frequently,1383,large,3,16,49,4,2033
obese,male,pescatarian,daily,electricity,walk/bicycle,,84,rarely,8,large,5,19,15,20,1828
underweight,male,pescatarian,more frequently,wood,walk/bicycle,,283,very frequently,39,extra large,6,10,13,2,3053
obese,female,pescatarian,less frequently,electricity,walk/bicycle,,265,rarely,57,large,1,20,41,18,1320
underweight,female,vegan,less frequently,coal,public,,201,very frequently,407,medium,3,3,25,12,2109
underweight,male,vegan,daily,coal,private,hybrid,265,rarely,414,medium,4,8,28,20,1715
overweight,female,vegan,daily,wood,walk/bicycle,,84,never,69,medium,7,23,7,19,1124
underweight,female,vegetarian,more frequently,electricity,private,hybrid,102,rarely,6926,small,2,12,41,11,1939
normal,female,vegetarian,daily,wood,public,,249,never,361,large,2,3,10,19,888
obese,male,pescatarian,more frequently,coal,public,,170,rarely,1496,small,1,4,41,11,2379
overweight,female,vegan,daily,wood,walk/bicycle,,75,frequently,59,large,6,4,38,24,1971
obese,female,vegan,daily,wood,public,,121,very frequently,752,small,1,14,21,3,2268
normal,male,vegan,more frequently,natural gas,private,diesel,228,rarely,8003,extra large,7,18,24,5,4299
overweight,female,vegetarian,more frequently,electricity,private,hybrid,196,rarely,5308,large,5,10,18,14,2297
obese,male,omnivore,less frequently,electricity,public,,121,rarely,235,small,5,0,4,18,1213
underweight,male,omnivore,daily,coal,private,diesel,227,frequently,6512,small,1,21,49,19,4048
obese,male,pescatarian,daily,coal,walk/bicycle,,287,rarely,7,small,2,2,25,16,1950
overweight,female,omnivore,less frequently,wood,public,,58,rarely,1901,small,5,20,15,0,1149
overweight,female,pescatarian,more frequently,wood,public,,114,never,1334,large,4,24,26,6,1365
underweight,male,vegetarian,more frequently,coal,private,electric,219,rarely,6840,large,7,15,24,7,1966
underweight,female,pescatarian,daily,wood,walk/bicycle,,57,very frequently,70,large,2,1,13,0,1965
overweight,male,omnivore,daily,coal,private,diesel,133,very frequently,3371,small,6,3,43,12,3934
normal,male,omnivore,more frequently,wood,private,petrol,183,never,8669,small,5,10,31,17,4684
overweight,female,vegan,more frequently,electricity,walk/bicycle,,128,frequently,70,extra large,4,7,10,18,1564
normal,male,vegetarian,twice a day,coal,public,,281,frequently,98,large,5,16,19,19,2677
underweight,female,vegetarian,more frequently,natural gas,walk/bicycle,,242,rarely,22,medium,7,5,13,8,1101
overweight,female,pescatarian,twice a day,natural gas,walk/bicycle,,208,very frequently,96,extra large,4,17,50,12,3189
underweight,male,pescatarian,less frequently,natural gas,public,,255,rarely,282,extra large,1,8,14,9,1279
obese,male,omnivore,more frequently,electricity,private,petrol,241,very frequently,4501,extra large,1,3,25,3,4878
underweight,male,pescatarian,less frequently,natural gas,public,,63,rarely,1561,large,4,18,29,2,1547
normal,male,vegan,more frequently,wood,private,hybrid,261,never,7084,small,6,19,18,23,2398
normal,female,omnivore,more frequently,coal,private,hybrid,217,very frequently,2258,medium,4,11,22,1,2717
obese,female,vegan,daily,electricity,private,hybrid,155,rarely,8070,small,1,20,34,21,2671
overweight,male,pescatarian,less frequently,electricity,walk/bicycle,,234,never,37,small,7,13,11,14,1209
underweight,male,vegan,daily,natural gas,private,lpg,151,very frequently,5123,large,1,2,18,14,3566
